global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr,trap_name
282,7,2,"[54, 55]",396395.2568502426,344998.9014425278,42577287.855169296,37516865.4301857,LCM 185
283,7,3,"[56, 57]",464067.5800189972,367035.7073459625,47510398.49861636,38047827.83128679,LCM 186
284,7,4,"[58, 59, 60, 61, 62, 63]",284085.9660215378,206830.26431179047,137507721.74643603,101778935.29419546,ACL 2.30
285,7,5,"[58, 59]",265851.3530025482,234896.69529914856,36192434.899894334,32629417.196579468,LCM 187
286,7,6,"[60, 61]",249904.97536849976,223211.3661308289,28620726.385178823,25752746.5964149,LCM 188
287,7,7,"[62, 63]",200372.3873128891,166555.00836086273,21062808.735996224,17539835.390114885,LCM 189
288,7,8,"[36, 37, 38, 39, 40, 41]",152394.80652332306,127099.1324672699,77876745.73433049,67524025.82074307,ACL 2.31
289,7,9,"[36, 37]",269005.1536951065,240815.01774311063,32303079.046930347,29504804.36369751,LCM 190
290,7,10,"[38, 39]",243286.18042564392,215893.2114086151,34133490.95848997,30811049.573678102,LCM 191
291,7,11,"[40, 41]",320636.5544738769,283565.2296295166,34642746.59337043,31114364.29096367,LCM 192
292,7,12,"[42, 43, 44, 45, 46, 47]",153254.93335533142,115497.78349876404,96806377.60681778,77390137.19320974,ACL 2.32
293,7,13,"[42, 43]",249723.34779930115,227570.17268180847,26639969.03232993,24426950.5101762,LCM 193
294,7,14,"[44, 45]",258347.8775806427,225345.38092803955,23743094.175595306,20643228.55636678,LCM 194
295,7,15,"[46, 47]",156356.000123024,136079.13208007812,17519364.173090547,15116767.915541878,LCM 195
